dt,sunrise,sunset,pressure,humidity,dew_point,wind_speed,wind_deg,wind_gust,clouds,pop,rain,uvi,snow,temp_day,temp_min,temp_max,temp_night,temp_eve,temp_morn,feels_like_day,feels_like_night,feels_like_eve,feels_like_morn,weather_id,weather_main,weather_description,city_name
2023-02-24 12:00:00,2023-02-24 07:21:24,2023-02-24 18:03:30,1008,80,6.43,3.77,339,7.64,64,0.99,3.31,1.12,,9.75,4.45,10.08,4.45,7.11,6.18,9.46,1.66,4.78,6.18,501.0,Rain,moderate rain,Strasbourg
2023-02-25 12:00:00,2023-02-25 07:19:31,2023-02-25 18:05:05,1012,56,-2.57,3.66,8,7.36,18,0.43,,1.82,,5.57,1.59,7.03,1.59,4.75,3.02,3.23,-1.75,2.21,0.22,801.0,Clouds,few clouds,Strasbourg
2023-02-26 12:00:00,2023-02-26 07:17:36,2023-02-26 18:06:41,1019,44,-7.68,7.74,47,12.98,42,0.03,,1.86,,3.41,-0.69,4.44,0.21,2.68,-0.5,-1.62,-5.16,-2.27,-5.39,802.0,Clouds,scattered clouds,Strasbourg
2023-02-27 12:00:00,2023-02-27 07:15:41,2023-02-27 18:08:16,1024,40,-8.06,7.54,54,11.61,23,0.0,,2.0,,4.44,-1.42,5.04,0.67,2.04,-1.28,-0.4,-4.06,-2.71,-7.12,801.0,Clouds,few clouds,Strasbourg
2023-02-28 12:00:00,2023-02-28 07:13:45,2023-02-28 18:09:50,1018,43,-5.56,5.08,47,9.33,71,0.0,,2.0,,6.11,-1.44,7.08,2.01,3.66,-1.44,2.86,-2.0,0.2,-6.69,803.0,Clouds,broken clouds,Strasbourg
2023-02-22 12:00:00,2023-02-22 07:26:14,2023-02-22 18:02:27,1014,55,2.54,1.45,230,2.75,100,0.67,0.39,1.56,,9.97,4.2,10.88,7.14,8.5,4.37,9.97,7.14,8.5,4.37,500.0,Rain,light rain,Château du Haut-Kœnigsbourg
2023-02-23 12:00:00,2023-02-23 07:24:24,2023-02-23 18:04:02,1014,77,6.32,1.37,203,2.24,99,0.77,1.76,1.18,,9.05,5.7,10.35,5.7,7.4,5.89,9.05,5.7,7.4,5.89,500.0,Rain,light rain,Château du Haut-Kœnigsbourg
2023-02-24 12:00:00,2023-02-24 07:22:33,2023-02-24 18:05:37,1008,69,5.21,2.67,344,6.99,44,0.92,2.7,0.96,,9.33,2.45,9.33,2.45,5.11,3.12,9.33,1.04,3.52,3.12,500.0,Rain,light rain,Château du Haut-Kœnigsbourg
2023-02-25 12:00:00,2023-02-25 07:20:40,2023-02-25 18:07:11,1012,53,-4.67,4.11,29,5.03,11,0.51,0.2,1.9,,2.73,-2.19,3.62,-2.19,0.56,0.62,0.16,-5.15,-1.84,-1.29,500.0,Rain,light rain,Château du Haut-Kœnigsbourg
2023-02-26 12:00:00,2023-02-26 07:18:47,2023-02-26 18:08:45,1018,49,-8.94,7.68,46,12.4,52,0.0,,1.94,,-0.51,-4.23,0.93,-3.52,-1.26,-3.98,-6.26,-9.51,-7.2,-9.35,803.0,Clouds,broken clouds,Château du Haut-Kœnigsbourg
2023-02-27 12:00:00,2023-02-27 07:16:53,2023-02-27 18:10:19,1023,44,-9.1,7.2,61,12.08,94,0.0,,2.0,,0.64,-5.14,1.23,-3.09,-1.7,-5.12,-5.18,-8.63,-7.35,-11.07,804.0,Clouds,overcast clouds,Château du Haut-Kœnigsbourg
2023-02-28 12:00:00,2023-02-28 07:14:58,2023-02-28 18:11:52,1018,49,-6.72,4.83,54,9.26,81,0.0,,2.0,,1.87,-5.26,3.2,-2.47,-1.02,-5.26,-2.37,-5.58,-4.43,-9.58,803.0,Clouds,broken clouds,Château du Haut-Kœnigsbourg
2023-02-22 12:00:00,2023-02-22 07:25:55,2023-02-22 18:02:40,1014,57,4.26,2.14,180,3.25,100,0.77,0.61,1.56,,13.21,7.1,14.17,10.08,11.34,7.31,12.07,9.44,10.54,6.51,500.0,Rain,light rain,Colmar
2023-02-23 12:00:00,2023-02-23 07:24:05,2023-02-23 18:04:14,1014,72,7.01,2.29,186,3.82,97,0.85,2.29,1.18,,12.68,8.85,13.81,8.93,10.8,8.91,11.88,8.93,10.02,8.91,500.0,Rain,light rain,Colmar
2023-02-24 12:00:00,2023-02-24 07:22:14,2023-02-24 18:05:48,1007,67,6.03,3.13,27,5.91,42,0.92,3.87,0.96,,12.79,5.98,12.79,6.09,8.78,6.2,11.87,6.09,7.16,6.2,501.0,Rain,moderate rain,Colmar
2023-02-25 12:00:00,2023-02-25 07:20:23,2023-02-25 18:07:22,1012,53,-3.6,4.83,35,6.45,24,0.65,0.28,1.9,,5.87,0.97,6.7,0.97,3.87,3.77,3.43,-2.06,1.36,2.76,500.0,Rain,light rain,Colmar
2023-02-26 12:00:00,2023-02-26 07:18:30,2023-02-26 18:08:55,1017,45,-8.4,8.22,42,12.99,45,0.0,,1.94,,3.16,-1.21,4.27,-0.34,1.81,-0.91,-2.02,-6.16,-3.53,-5.96,802.0,Clouds,scattered clouds,Colmar
2023-02-27 12:00:00,2023-02-27 07:16:37,2023-02-27 18:10:28,1023,43,-8.18,7.7,55,12.43,84,0.0,,2.0,,3.82,-1.86,4.55,0.04,1.44,-1.8,-1.26,-4.68,-3.66,-7.8,803.0,Clouds,broken clouds,Colmar
2023-02-28 12:00:00,2023-02-28 07:14:43,2023-02-28 18:12:01,1017,48,-5.67,5.01,29,8.68,93,0.0,,2.0,,5.21,-1.91,6.57,0.86,2.53,-1.91,1.71,-2.08,-0.93,-6.52,804.0,Clouds,overcast clouds,Colmar
2023-02-22 12:00:00,2023-02-22 07:26:03,2023-02-22 18:02:55,1014,56,4.12,1.91,183,2.84,100,0.8,0.48,1.56,,13.55,7.41,14.44,10.17,11.28,7.6,12.42,9.51,10.5,7.06,500.0,Rain,light rain,Eguisheim
2023-02-23 12:00:00,2023-02-23 07:24:14,2023-02-23 18:04:29,1014,71,6.88,1.99,188,3.27,97,0.88,2.39,1.18,,12.8,8.87,13.84,9.02,10.73,8.95,11.99,9.02,9.97,8.95,500.0,Rain,light rain,Eguisheim
2023-02-24 12:00:00,2023-02-24 07:22:24,2023-02-24 18:06:03,1007,64,5.79,2.7,15,6.42,33,0.92,4.06,0.96,,13.18,6.11,13.18,6.25,9.12,6.33,12.22,6.25,7.83,6.33,501.0,Rain,moderate rain,Eguisheim
2023-02-25 12:00:00,2023-02-25 07:20:32,2023-02-25 18:07:37,1011,51,-3.78,4.68,39,5.93,29,0.66,0.52,1.9,,6.48,1.31,6.48,1.31,2.6,3.7,4.26,-1.51,0.29,3.7,500.0,Rain,light rain,Eguisheim
2023-02-26 12:00:00,2023-02-26 07:18:40,2023-02-26 18:09:10,1017,42,-8.75,7.62,44,12.73,55,0.2,,1.94,0.12,3.89,-1.2,3.89,-0.1,1.09,-1.2,-1.14,-5.81,-4.35,-6.34,600.0,Snow,light snow,Eguisheim
2023-02-27 12:00:00,2023-02-27 07:16:46,2023-02-27 18:10:43,1023,44,-8.27,7.68,55,12.28,90,0.0,,2.0,,3.64,-1.92,4.42,0.05,1.44,-1.92,-1.48,-4.6,-3.67,-7.76,804.0,Clouds,overcast clouds,Eguisheim
2023-02-28 12:00:00,2023-02-28 07:14:52,2023-02-28 18:12:15,1017,48,-5.85,4.87,29,9.0,96,0.0,,2.0,,5.04,-1.84,6.5,0.99,2.56,-1.84,1.55,-1.8,-0.83,-6.36,804.0,Clouds,overcast clouds,Eguisheim
2023-02-22 12:00:00,2023-02-22 07:29:57,2023-02-22 18:09:18,1016,72,6.02,3.98,224,8.53,100,1.0,1.91,1.46,,11.38,6.35,11.66,8.68,8.55,6.58,10.45,8.68,7.71,5.39,500.0,Rain,light rain,Besançon
2023-02-23 12:00:00,2023-02-23 07:28:10,2023-02-23 18:10:49,1014,80,7.89,2.08,56,3.3,100,0.62,1.38,1.67,,11.67,7.89,12.96,7.89,10.4,8.31,10.98,7.89,9.77,8.31,500.0,Rain,light rain,Besançon
2023-02-24 12:00:00,2023-02-24 07:26:23,2023-02-24 18:12:20,1008,72,7.04,3.74,14,7.0,68,1.0,15.82,1.96,,12.32,5.91,13.31,5.91,9.76,6.15,11.49,3.66,9.76,6.15,502.0,Rain,heavy intensity rain,Besançon
2023-02-25 12:00:00,2023-02-25 07:24:34,2023-02-25 18:13:50,1010,65,-0.58,5.27,46,12.94,54,1.0,0.49,2.03,,5.93,1.65,7.1,1.65,4.35,4.19,2.83,-2.82,1.17,1.78,500.0,Rain,light rain,Besançon
2023-02-26 12:00:00,2023-02-26 07:22:45,2023-02-26 18:15:21,1014,50,-6.69,8.86,40,17.02,11,0.0,,2.06,,3.3,-0.38,4.89,0.0,1.86,-0.36,-2.08,-6.39,-4.02,-5.29,801.0,Clouds,few clouds,Besançon
2023-02-27 12:00:00,2023-02-27 07:20:55,2023-02-27 18:16:51,1020,42,-7.78,7.89,48,16.95,63,0.0,,3.0,,4.41,-1.56,4.84,-0.2,1.36,-1.56,-0.31,-5.13,-3.5,-7.94,803.0,Clouds,broken clouds,Besançon
